taxa,PC1,PC2,PC3
HARRINGTON,-25.3160687014781,-1.57619391357102,-6.64573234838164
ROBUST,30.9236962863728,-2.89503129402594,-4.07639402854862
TRADITION,27.0489290916823,-2.24682954146364,1.59279687106863
AC_METCALFE,-20.1745366293702,6.09991924785267,-3.33015204001434
BARONESSE,-23.6316936275427,-21.4953584042064,0.366233114488241
ND20448,22.336592437125,-1.24514712332909,1.07197574505098
CRAFT,-18.6983774597095,10.8156068501553,-2.40702049873804
HOCKETT,-21.9507268452112,6.30785346162024,-1.98577272327499
GERALDINE,-24.6316572046464,-9.59435605921028,-1.84677641942192
ESLICK,-25.3746685895398,-7.96121700673017,-2.21082181277902
HAXBY,-17.9351714085293,6.03193674066789,-1.52211236676175
FEG178-02,28.6522504201694,-1.96072020817128,-6.30294131291236
FEG178-05,31.0964474343697,-3.55317149947241,-5.16306920528336
FEG178-11,29.6413431378931,-3.10893592234765,-6.1785002660866
FEG178-16,30.4602994830333,-3.85382604315586,-6.12798471208005
FEG178-18,27.9248830324323,-2.02937559987837,-5.54847424257301
FEG178-45,26.9589110141674,-2.31912149437557,-5.28668945287481
FEG178-64,27.7351318245681,-2.37914126122626,-6.42222657941344
FEG178-65,29.3969205736811,-3.23931698489598,-6.36371737968105
FEG179-10,29.6488168836904,-2.95349747394584,-5.97627385349606
FEG179-17,29.8433139418181,-2.49915479062925,-5.70202247480947
FEG179-18,30.7463146610923,-3.36735021635025,-6.15079489670435
FEG179-28,30.1960455711518,-2.95707074100539,-6.47827140341071
FEG179-66,30.7562521172967,-3.02212170061001,-6.48105146800164
FEG180-19,30.64278323851,-5.60095910770178,-7.05907589607391
FEG181-09,28.4207677384685,-4.45596288083805,-8.93069167400947
FEG181-17,27.0554742909495,-4.13061569319489,-7.47520762708771
FEG181-40,28.7451485508851,-4.80645453720091,-8.72865032949104
FEG181-42,28.7679567945951,-4.35211432778885,-8.19502228579599
FEG181-62,29.6905823014501,-4.42124665993247,-7.20962510903586
FEG181-64,29.068324969197,-4.25661570152382,-8.09639553466559
FEG181-66,28.7063579153727,-1.56523974598331,-5.66556516282572
FEG182-15,28.9106888164429,-2.45979990029293,-7.43223300572774
FEG182-31,27.8935241826504,-3.42948093517771,-6.79726474749267
FEG182-37,27.775691333657,-2.50708127660877,-7.67921546968277
FEG182-57,28.9050837551898,-2.87174566683394,-7.73806987795285
FEG182-60,28.3707300009029,-2.8737147034299,-6.29062091100042
FEG182-61,27.4409277915139,-3.02154063034675,-6.77260095442915
FEG183-24,30.4679845209281,-5.56301127448908,-7.64972596988238
FEG183-25,29.1226012058726,-5.83336918958601,-7.23980090429263
FEG183-28,28.5055411138292,-4.96084804069815,-6.80853643989108
FEG183-51,30.2375833871803,-5.43978831533121,-7.89931627682373
FEG183-52,29.9364998761553,-5.39279594472789,-7.03354897556795
FEG183-53,30.2703048332893,-4.87283124202528,-6.59349800519731
FEG184-11,23.3527948511904,-2.24760016045137,-7.37837149877533
FEG184-23,27.0111294969221,-3.71286926778309,-6.89610127462837
FEG184-24,21.7359376724782,-2.36383287320527,-7.39451693965555
FEG184-34,27.2657233331761,-3.95344770337415,-5.90414178892508
FEG184-35,27.1155412329913,-3.53695219637417,-6.3429138170449
FEG184-43,27.6497361097662,-4.44949762318235,-7.49804044216665
FEG184-50,25.5414906288536,-2.88285017704786,-7.48278396051163
FEG184-54,20.8852213780655,-2.27720253037468,-6.05386349240337
FEG184-60,22.2258024103247,-3.08661525321411,-6.1031475330276
FEG185-10,30.2320910125562,-3.38025731023629,-7.20595814574418
FEG185-15,30.1244231046901,-3.56634444710728,-6.97358336148654
FEG185-22,30.4042285968636,-3.21351894049753,-7.11391603139984
FEG185-31,30.8863375861798,-3.57067971537361,-8.42412164908775
FEG185-32,29.4269021560013,-3.54688538004951,-7.56243077455999
FEG185-37,30.6467410864623,-3.1829586306614,-7.63440045802176
FEG185-46,30.5584236483153,-3.99163027218726,-6.64650863024058
FEG185-64,30.8427858501479,-3.80261372858818,-7.17370660504047
FEG187-02,24.6733645541609,-1.43854843672344,-7.04973473788914
FEG187-11,24.7978280578133,-1.4506719038065,-7.24941087906154
FEG187-41,25.3334437494882,-1.41969212494399,-7.50697344200144
FEG188-02,30.8426268460535,-2.64187679063643,-8.34818501293615
FEG188-39,31.1819219118922,-2.36574755904125,-8.28142760116121
FEG188-53,30.8305063948808,-2.25909857646921,-8.23654049612339
FEG189-01,27.8299482715908,-2.19831032493355,-7.10155373299866
FEG189-05,28.8250421140844,-2.13475957668403,-7.63164312233418
FEG189-12,28.4116569987711,-1.79054462231115,-7.63464329486578
FEG189-15,28.7000634143088,-1.99440759742457,-7.77261638135145
FEG189-27,28.0737089852684,-2.18186839317392,-7.33924781371397
FEG189-67,27.5537031145995,-1.91239222877747,-7.25374621912701
FEG190-01,30.7223997099368,-2.68224663448017,-6.06227010427517
FEG190-08,31.0336788545173,-2.38433919530836,-6.13106060368711
FEG190-65,31.1607591298171,-2.76453044097134,-7.16355162733618
FEG190-67,30.4600060477818,-1.94518067305443,-6.45082742727936
FEG192-04,29.3354789363697,-1.92658472661521,-7.88740145398713
FEG192-14,29.4725461756095,-1.939068752565,-5.09782461853619
FEG192-15,28.0339866436411,-1.66478900136768,-5.58457517089818
FEG192-30,27.1412588546888,-2.25937328442939,-6.25558008156147
FEG192-42,28.0323362077727,-2.17569855504407,-6.11175098146566
FEG192-49,28.5578885714622,-2.44834719720647,-7.10017129121404
FEG192-56,29.644452628653,-1.53123514201681,-5.55097184374252
FEG192-69,28.3333220822814,-2.33342736701953,-5.75484878879294
06WA-406.3,-24.576523364205,-0.965376788564596,-3.71216055047218
06WA-406.6,-22.341994967718,-2.56320032953802,-3.7415770387472
06WA-409.31,-21.5725236517179,-11.1662128530328,-2.06252493014222
06WA-412.14,-26.0983547969781,-8.3769398737305,-3.19837271572074
06WA-412.16,-26.1940694331299,-9.06664542634154,-2.24252207098217
06WA-412.3,-24.9634247580384,-12.9015415858025,-1.49896344340335
06WA-412.4,-25.5964696271521,-10.8511937290657,-1.34941188912107
06WA-414.7,-20.6224191717873,-9.48718048999145,-0.795237879635774
06WA-415.30,-21.4033988048931,-13.1062507470195,-1.2384217699357
06WA-416.21,-23.85372071292,-10.806078621163,-1.57631004002319
06WA-419.6,-23.8237957845043,-5.96362446343518,-4.96471598086068
06WA-423.25,-22.6651148313519,-13.4034730337468,1.07867079285215
06WA-423.30,-23.8192769778825,-8.24380834061554,-1.72073513454519
06WA-426.18,-23.7247634832222,-14.8514398442253,-1.31633493559446
06WA-427.31,-23.7946846329603,-13.3013663111444,-2.04479511432464
06WA-427.50,-24.3726549597178,-14.917441744539,-3.37769673990961
06WA-427.6,-24.6720038318532,-13.178299235137,-2.94928925289202
06WA-428.19,-23.1748174159251,-2.73575104434597,-3.3971055012995
06WA-429.16,-21.9363647531039,0.48281558501162,-7.44729623028467
06WA-431.16,-26.9486273137171,-7.58915461653288,-5.07089471340987
06WA-431.25,-27.5612256733874,-7.94877533957709,-5.59216849579727
06WA-432.23,-22.0653522225328,-6.01255374524345,-1.75833390900466
06WA-448.5,-25.0192196067026,-18.4575500828832,-2.32286614319263
06WA-455.5,-26.5477682062869,-5.80902149137562,-7.70509061973026
