taxa,PC1,PC2,PC3
HARRINGTON,-25.1251227297659,-1.32086287385844,-6.87557956765648
ROBUST,31.0939662243411,-2.57296713433689,-4.20106041988643
TRADITION,26.8300269180401,-2.23139712933856,1.51655724512522
AC_METCALFE,-19.9390574622096,6.32457439546012,-3.59228146910485
BARONESSE,-23.4887794070992,-21.1040791505507,0.105056326895072
ND20448,22.2490230144061,-1.11806057064474,1.30129504246674
CRAFT,-18.5081252321914,11.0162078462404,-2.58110408835487
HOCKETT,-21.7951257867306,6.48315651117715,-2.25297212487792
GERALDINE,-24.5294601623832,-9.34733402642802,-2.06521487760314
ESLICK,-25.2382045868559,-7.66012229298447,-2.49917467476525
HAXBY,-17.8084860185552,6.28816589462817,-1.68566953715297
FEG178-02,28.5885099170275,-1.9383316345886,-6.25903542701519
FEG178-05,31.0920349930382,-3.53986199201158,-5.14355560153018
FEG178-11,29.6139537952385,-3.12198978408339,-6.23110547921962
FEG178-16,30.4047003319811,-3.78304859487839,-6.1213044342015
FEG178-18,27.9778510149935,-1.99691612925386,-5.52292497621426
FEG178-45,26.9395083931116,-2.29745995455611,-5.3120701302743
FEG178-64,27.6797986327257,-2.36368844480964,-6.47966882458062
FEG178-65,29.5621640975735,-3.12476151048198,-6.51290990668621
FEG179-10,29.6462183659679,-2.95252561532235,-5.90888060060989
FEG179-17,29.7341046388773,-2.45254874289006,-5.73970209133657
FEG179-18,30.6801245051928,-3.35059479858802,-6.1225800392177
FEG179-28,30.0561185799208,-2.8488188062341,-6.52762560477832
FEG179-66,30.7171437680028,-3.01134336264781,-6.42649984937234
FEG180-19,30.6245628480789,-5.61143214572988,-7.00837511553822
FEG181-09,28.4064891568505,-4.44068815497225,-8.89135102818449
FEG181-17,27.0682560551338,-4.18001274629284,-7.48573968830338
FEG181-40,28.6929415285092,-4.83084739196903,-8.70987833765074
FEG181-42,28.759665152292,-4.36612637011915,-8.17575122312199
FEG181-62,29.7078335986109,-4.42091926867669,-7.17245431716836
FEG181-64,29.1081233025013,-4.22001635082651,-8.07746371948033
FEG181-66,28.6925319480559,-1.56963921841752,-5.63345779633047
FEG182-15,28.9634073199263,-2.413420896287,-7.48548026307035
FEG182-31,27.9294801927264,-3.390788252137,-6.77229084490847
FEG182-37,27.7495053153238,-2.54085369701669,-7.711089933639
FEG182-57,28.8544767806892,-2.87581960404266,-7.71114458430265
FEG182-60,28.35256538495,-2.88111832980896,-6.30518087469141
FEG182-61,27.4750262573629,-2.97822359586919,-6.80542234265186
FEG183-24,30.4728227883681,-5.59369961417547,-7.61255757850367
FEG183-25,29.1506358921376,-5.82787531507563,-7.20503132784539
FEG183-28,28.5094884858657,-4.98640993312759,-6.74367222147168
FEG183-51,30.2225462927611,-5.44470640849508,-7.84713021670629
FEG183-52,29.9662574039578,-5.4067019871459,-7.01497457243335
FEG183-53,30.2796566425097,-4.91054931502598,-6.56361056003082
FEG184-11,23.3239790100155,-2.24803953814276,-7.30921723823184
FEG184-23,27.0205683629983,-3.72095344420721,-6.82402181006437
FEG184-24,21.6868798499261,-2.3396934128275,-7.27833833631266
FEG184-34,27.2748016840902,-3.97373230303967,-5.85673215892322
FEG184-35,27.1175034235771,-3.55198667534315,-6.28088875403202
FEG184-43,27.6377955597978,-4.46436214048412,-7.43860173190547
FEG184-50,25.4672034780492,-2.87317455762876,-7.42941925646309
FEG184-54,20.8282476917732,-2.23356424414182,-5.94102817559287
FEG184-60,22.2259753205741,-3.09269276312146,-6.03874115728937
FEG185-10,30.2323388613222,-3.37981397979465,-7.18946894922767
FEG185-15,30.0427514547487,-3.53160741165128,-6.96347351306677
FEG185-22,30.4057483279029,-3.18910923986131,-7.1311518740018
FEG185-31,30.8739514005707,-3.55872928992402,-8.4032983636062
FEG185-32,29.3968639576627,-3.38939943070606,-7.70157937972863
FEG185-37,30.6516005041571,-3.18894346493934,-7.60368374133272
FEG185-46,30.6216737081406,-3.91029366087106,-6.56943504694981
FEG185-64,30.8815559524197,-3.75862502732466,-7.14590804315912
FEG187-02,24.6424075417262,-1.4486302742448,-7.04066905923631
FEG187-11,24.7725510254348,-1.43485101942914,-7.19990294680056
FEG187-41,25.3383946988089,-1.41206822962715,-7.44474897512399
FEG188-02,30.8462208854744,-2.61999571684459,-8.33246146205054
FEG188-39,31.187608394196,-2.37004120486755,-8.25989807085971
FEG188-53,30.8564796249091,-2.2473639996445,-8.21586388889066
FEG189-01,27.9107105267705,-2.1808820884906,-7.07715771600236
FEG189-05,28.8337404126084,-2.17471963810284,-7.60858415682446
FEG189-12,28.4164688617598,-1.79202968277799,-7.62239769493162
FEG189-15,28.704962939551,-2.02512246597993,-7.75126256619687
FEG189-27,28.1007852371772,-2.20690128915297,-7.32433366977864
FEG189-67,27.5601093216878,-1.92385711460821,-7.23060570692708
FEG190-01,30.7804048195462,-2.63887636137263,-6.05990857952809
FEG190-08,31.057357998325,-2.40710277990479,-6.08759143667172
FEG190-65,31.1240741173402,-2.73707690878087,-7.17097038518869
FEG190-67,30.4713226817544,-1.94780023143893,-6.42275394439559
FEG192-04,29.3606646998705,-1.91055905212039,-7.84046214372773
FEG192-14,29.4833103218914,-1.98484939715067,-5.03774445884964
FEG192-15,28.0421033864029,-1.73066435308586,-5.53693521631494
FEG192-30,27.1369812362753,-2.26105365406871,-6.2337370470012
FEG192-42,28.0062154022516,-2.20272667481222,-6.12263916764727
FEG192-49,28.5628869208266,-2.47593278145254,-7.00360921139796
FEG192-56,29.7035483461161,-1.55291443625272,-5.51174630676582
FEG192-69,28.3304056691319,-2.38848427450502,-5.72606760468692
06WA-406.3,-24.5289530113725,-0.9879308898773,-3.76738597830019
06WA-406.6,-22.3447855301897,-2.55276492611352,-3.80426636099625
06WA-409.31,-21.5608126739721,-11.2441981816281,-1.98079517267857
06WA-412.14,-26.17539941351,-8.34329447343944,-3.14692316389547
06WA-412.16,-26.1725659535191,-9.0833843772546,-2.17594729612607
06WA-412.3,-24.9525995868138,-12.8548099639241,-1.4251665176562
06WA-412.4,-25.6000379606153,-10.8552323817622,-1.26323547312104
06WA-414.7,-20.5911293778928,-9.57908255253576,-0.714081914879049
06WA-415.30,-21.361111091921,-13.189999828087,-1.25850229613682
06WA-416.21,-23.8416528600175,-10.8157524918442,-1.55689144431584
06WA-419.6,-23.8136682706885,-5.92054473557944,-4.90339656763864
06WA-423.25,-22.5280641406441,-13.3641522878713,1.14575909757463
06WA-423.30,-23.8148431778818,-8.21657139407551,-1.68147378732152
06WA-426.18,-23.7330480834836,-14.8421067774013,-1.28219594862324
06WA-427.31,-23.7606064916995,-13.2740796612381,-2.01496404193613
06WA-427.50,-24.3467048437485,-14.8862752398061,-3.33214098390156
06WA-427.6,-24.6553293319549,-13.2378819862274,-2.94243079744951
06WA-428.19,-23.1882548683249,-2.74023570916073,-3.39644358131382
06WA-429.16,-21.9275075898886,0.450931838842417,-7.44491158974913
06WA-431.16,-26.9647489700312,-7.57579604983328,-5.07763187134271
06WA-431.25,-27.6232205613002,-7.93176673770756,-5.64501327372204
06WA-432.23,-22.0922591687202,-6.05595016287249,-1.84602555004745
06WA-448.5,-25.04311389007,-18.3964585276088,-2.30370879297007
06WA-455.5,-26.5298824422755,-5.85651714362524,-7.75695114604337
06WA-456.9,-19.6861015079238,-16.6112158439836,1.24722374074278
06WA-466.16,-25.0085481036296,-3.18214820087192,-0.997583764163579
06WA-466.6,-24.7197282979873,-3.37931874498252,-1.94193377967332
06WA-469.14,-24.9728313507853,-8.85114428031892,-1.84693629177177
06WA-472.13,-23.9202128197241,-14.350440967393,-1.99247192756141
06WA-473.9,-25.7613020339262,-16.3954981798153,-1.55171327768575
06WA-475.15,-20.0901948264682,-12.942215519791,2.20325455419303
06WA-406.11,-22.3918155551458,-2.9262333280243,-1.63476406022422
06WA-406.18,-22.1391652018984,-0.51321785417624,-3.42973161755317
06WA-406.21,-26.335966112895,-3.65866081432214,-6.44248682489474
06WA-406.9,-23.8636048965962,-4.85293519311733,-4.95780008089435
06WA-408.14,-24.9857390407763,-9.30670842535939,-2.92510415938375
06WA-409.8,-24.4898683664108,-14.1309397221088,-1.10327720861929
06WA-412.12,-22.8062943825973,-15.1452803923255,0.838363736874365
06WA-412.29,-24.4441132595788,-10.6754084323287,-1.38268656880205
06WA-412.5,-25.9231666897865,-10.6127115890216,-2.02566083067718
06WA-414.10,-19.1307222381393,-6.43219420821678,0.384994151563739
06WA-414.23,-19.6975845090129,-7.61619188005306,-3.59454159388835
06WA-421.17,-23.3992019466933,-12.471612863953,1.33974395994168
