Taxa	protein			
03WA-105.4HW-1	13.3			
03WA-168.14W-3	15.6			
03WA-203.18HW-1	14.8			
03WA-203.1HW-1	14.2			
03WA-203.9HW-1	14.9			
03WA-204.19W-1	15.8			
03WA-204.22W-4	13.7			
03WA-204.4W-2	11.8			
03WA-204.9W-1	13.5			
06WA-406.11	11.9			
06WA-406.18	12.5			
06WA-406.21	11.7			
06WA-406.3	12.4			
06WA-406.6	12.3			
06WA-406.9	12.6			
06WA-408.14	12.6			
06WA-409.31	12.5			
06WA-409.8	12			
06WA-412.12	12.3			
06WA-412.14	11.5			
06WA-412.16	11.9			
06WA-412.29	11.8			
06WA-412.3	12.5			
06WA-412.4	12.1			
06WA-412.5	12.1			
06WA-414.10	12.7			
06WA-414.23	12.5			
06WA-414.7	12.7			
06WA-415.30	13			
06WA-416.21	12.3			
06WA-419.6	11.3			
06WA-420.10	13.4			
06WA-420.19	12.3			
06WA-421.17	11.9			
06WA-422.19	12.5			
06WA-423.21	12			
06WA-423.25	13.1			
06WA-423.30	12.8			
06WA-425.3	12			
06WA-426.18	12.6			
06WA-427.15	11.6			
06WA-427.31	11.6			
06WA-427.50	11.8			
06WA-427.6	11.9			
06WA-428.11	12.5			
06WA-428.19	11.3			
06WA-429.10	11.8			
06WA-429.16	11.1			
06WA-431.16	11.9			
06WA-431.25	12.2			
06WA-432.23	12.5			
06WA-432.7	12.1			
06WA-444.5	12.1			
06WA-448.5	11.2			
06WA-453.1	11.9			
06WA-455.5	11.7			
06WA-456.9	13.2			
06WA-458.10	13.3			
06WA-458.20	12.1			
06WA-458.8	12.1			
06WA-461.1	12.9			
06WA-461.23	11.7			
06WA-466.16	12.8			
06WA-466.6	12.8			
06WA-469.14	13.1			
06WA-470.7	12.1			
06WA-472.13	12.2			
06WA-473.11	12.2			
06WA-473.17	12.7			
06WA-473.3	12.5			
06WA-473.9	11.9			
06WA-475.14	12.2			
06WA-475.15	12.5			
2152-105	12.1			
2152-110	11.5			
2152-113	12.5			
2152-19	12.7			
2152-29	11.8			
2152-3	12.3			
2152-32	11.5			
2152-35	12			
2152-46	11.8			
2152-47	10.7			
2152-50	12.4			
2152-54	11.8			
2152-68	12.2			
2152-87	12.1			
2152-94	11.1			
2152-99	11.4			
2153-107	12.3			
2153-11	10.2			
2153-23	12.3			
2153-27	13.5			
2153-30	11.9			
2153-4	10.1			
2153-52	12.6			
2153-56	11.8			
2153-61	11.9			
2153-67	12.8			
2153-68	13.1			
2153-70	12.6			
2154-101	13			
2154-102	12.1			
2154-26	12.9			
2154-39	13.1			
2154-40	11.8			
2154-44	11.1			
2154-5	12.7			
2154-55	13.4			
2154-56	12.8			
2154-58	12.5			
2154-82	12.8			
2154-86	13			
2154-88	13.6			
2154-9	11.4			
2154-92	13.5			
2154-97	12.7			
2154-99	12.8			
2155-101	11.3			
2155-108	11.1			
2155-138	11.5			
2155-140	11.1			
2155-144	11.8			
2155-35	11.8			
2155-43	11.7			
2155-46	11			
2155-48	12.4			
2155-54	10.1			
2155-62	12.1			
2155-66	11.7			
2155-73	10.6			
2155-75	11.9			
2156-12	14			
2156-45	13.1			
2156-46	14.1			
2156-59	13.8			
2156-73	14.6			
2156-8	15.5			
2157-26	13.7			
2157-36	14			
2157-4	13.4			
2157-43	13.9			
2157-54	15.1			
2157-64	13.1			
2157-69	12.9			
2157-79	11.5			
2159-103	9.9			
2159-113	11.3			
2159-117	9.8			
2159-123	10.9			
2159-125	10.8			
2159-132	10.6			
2159-133	11.4			
2159-135	11.7			
2159-140	11.5			
2159-27	10.4			
2159-32	10.7			
2159-44	11			
2159-47	10.3			
2159-62	12.9			
2159-72	9.9			
2159-90	10.7			
2159-94	10.1			
2159-99	10.1			
2AB07-X020010-50	13.6			
2AB07-X02001-2	12.3			
2AB07-X02001-21	11.1			
2AB07-X020013-31	12.2			
2AB07-X020013-53	12.4			
2AB07-X020014-15	12.2			
2AB07-X020014-42	11.3			
2AB07-X020020-34	12.3			
2AB07-X020021-16	12.4			
2AB07-X020021-49	12.1			
2AB07-X02005-45	12			
2AB07-X030091-3	10.5			
2AB07-X030091-34	11.3			
2AB07-X030109-39	11.4			
2AB07-X030154-25	12.1			
2AB07-X030154-35	12.4			
2AB07-X030154-37	11.7			
2AB07-X031083-19	12			
2AB07-X031083-28	12.3			
2AB07-X031088-11	12			
2AB07-X031088-31	12.4			
2AB07-X031088-33	11.6			
2AB07-X031098-31	12.6			
2AB07-X031098-38	12.6			
2AB07-X031122-21	11.3			
2AB07-X031122-26	12.5			
2AB07-X031123-36	11.7			
2AB07-X031123-44	12.4			
2AB07-X031170-21	12.4			
2AB07-X031170-28	11.8			
2AB07-X04M114-21	11.3			
2AB07-X04M114-25	11.6			
2AB07-X04M114-46	11.9			
2AB07-X04M120-10	11.4			
2AB07-X04M120-23	11.9			
2AB07-X04M122-15	11.3			
2AB07-X04M122-47	12.3			
2AB07-X04M203-7	12.3			
2AB07-X04M207-1	11.7			
2AB07-X04M207-18	11.8			
2AB07-X04M210-29	11.9			
2AB07-X04M210-36	12.2			
2AB07-X04M219-14	11.7			
2AB07-X04M219-46	11.4			
2AB07-X04M281-32	11.8			
2AB07-X04M281-8	11.6			
2AB07-X04M283-11	12.1			
2AB07-X04M283-41	11.9			
2B06-0920	11.8			
2B06-0929	12.4			
2B06-0931	12.6			
2B06-0933	12.7			
2B06-0996	11.8			
2B06-1000	13.1			
2B06-1001	12.3			
2B06-1021	12			
2B06-1044	12.4			
2B06-1105	12.2			
2B06-1112	12.1			
2B06-1128	12			
2B06-1137	12.6			
2B06-1139	12.8			
2B06-1142	11.8			
2B06-1143	12.1			
2B06-1144	11.8			
2B06-1145	13.1			
2B06-1146	13.2			
2B06-1147	13.1			
2B06-1151	11.5			
2B06-1153	12.3			
2B06-1157	11.9			
2B06-1163	11.3			
2B06-1173	12			
2B06-1175	12.3			
2B06-1176	12.3			
2B06-1206	11.6			
2B06-1238	11.8			
2B06-1252	12.3			
2B06-1277	12.7			
2B06-1278	13.1			
6AB07-X020026-52	11			
6AB07-X020027-15	11.6			
6AB07-X020027-6	11			
6AB07-X020028-39	12			
6AB07-X020028-48	11.6			
6AB07-X020028-52	10.7			
6AB07-X020029-24	12.3			
6AB07-X020029-41	10.6			
6AB07-X020029-5	10.4			
6AB07-X020031-3	12.4			
6AB07-X020031-30	12.6			
6AB07-X020031-38	10.3			
6AB07-X020031-4	10.5			
6AB07-X020032-27	12.3			
6AB07-X020032-46	10.9			
6AB07-X020032-49	12.9			
6AB07-X020034-16	12.3			
6AB07-X020034-36	11.5			
6AB07-X020034-43	12.2			
6AB07-X020037-51	13			
6AB07-X020037-7	11.9			
6AB07-X020039-2	11.8			
6AB07-X020039-23	13.6			
6AB07-X020040-26	13.1			
6AB07-X020040-43	10.9			
6AB07-X020041-36	11.7			
6AB07-X020041-40	11			
6AB07-X020041-44	11.6			
6AB07-X020042-28	11.8			
6AB07-X020042-4	12.2			
6AB07-X020042-41	12			
6AB07-X020044-10	11.1			
6AB07-X020044-26	11			
6AB07-X020045-30	10.4			
6AB07-X020045-33	13.2			
6AB07-X020047-43	10.5			
6AB07-X020047-50	12.5			
6AB07-X020047-51	12			
6AB07-X020047-7	11.5			
6AB07-X04M199-28	10.9			
6AB07-X04M199-40	11.2			
6AB07-X04M199-48	10.7			
6AB07-X04M248-16	10.8			
6AB07-X04M248-43	10.4			
6AB07-X04M286-10	11			
6AB07-X04M286-19	9.9			
6AB07-X04M286-3	11.1			
6AB07-X04M286-9	9.5			
6B06-1121	11.8			
6B06-1132	12.6			
6B06-1168	12.7			
6B06-1172	12.2			
6B06-1174	12.4			
6B06-1175	12.8			
6B06-1188	12.5			
6B06-1206	12.6			
6B06-1227	12.1			
6B06-1245	11.6			
6B06-1250	12			
6B06-1262	12.4			
6B06-1298	12			
6B06-1312	11.9			
6B06-1330	11.9			
6B06-1334	12.7			
6B06-1336	11.9			
6B06-1387	12.1			
6B06-1395	12.2			
6B06-1397	12.2			
6B06-1400	13.6			
6B06-1416	12.1			
6B06-1418	11.7			
6B06-1422	13.1			
6B06-1425	12.4			
6B06-1427	12.2			
6B06-1429	12			
6B06-1431	12.2			
6B06-1456	12.5			
6B06-1518	12.6			
6B06-1523	12.9			
6B06-1527	12.6			
6B06-1543	12.3			
AC_METCALFE	12.3			
BARONESSE	11.6			
CRAFT	12.1			
ESLICK	11.3			
FEG178-02	13			
FEG178-05	12			
FEG178-11	11.9			
FEG178-16	11.3			
FEG178-18	12.4			
FEG178-45	12.7			
FEG178-64	12.2			
FEG178-65	11.6			
